Filename,site,Prefix,N_column,S_column,Start_year,End_year,N_years,Mean
ak113.rwl.csv,ak113,DA28,DA28N,DA28S,1901,1949,49,0.85949128
ak114.rwl.csv,ak114,WP32,WP32N,WP32S,1901,1956,56,2.337409409
ak114.rwl.csv,ak114,BB37,BB37N,BB37S,1901,1991,91,1.425284123
ak114.rwl.csv,ak114,BB40,BB40N,BB40S,1901,1999,99,0.796732051
ak130.rwl.csv,ak130,JM02,JM02N,JM02S,1901,1991,91,1.110841942
ak130.rwl.csv,ak130,JM03,JM03N,JM03S,1901,1997,97,1.266841703
ak130.rwl.csv,ak130,JM06,JM06N,JM06S,1901,1949,49,1.171524137
ak131.rwl.csv,ak131,LC11,LC11N,LC11S,1901,2009,109,0.977837316
ak131.rwl.csv,ak131,SL13,SL13N,SL13S,1901,1998,98,0.460152557
ak131.rwl.csv,ak131,SL15,SL15N,SL15S,1901,2009,109,1.420745933
ak150.rwl.csv,ak150,WM39,WM39N,WM39S,1901,2009,109,1.05987617
ak192.rwl.csv,ak192,BC07,BC07N,BC07S,1901,2015,115,0.94359485
ak192.rwl.csv,ak192,BC20,BC20N,BC20S,1901,2015,115,0.871212715
ak192.rwl.csv,ak192,BC31,BC31N,BC31S,1901,2006,106,1.774509065
ak192.rwl.csv,ak192,BC37,BC37N,BC37S,1901,2012,112,2.032241262
ak192.rwl.csv,ak192,BC45,BC45N,BC45S,1901,1993,93,1.087499226
ak195.rwl.csv,ak195,EG39,EG39N,EG39S,1901,2015,115,0.62993423
ak195.rwl.csv,ak195,EG64,EG64N,EG64S,1901,1977,77,0.996289589
ak199.rwl.csv,ak199,BB37,BB37N,BB37S,1901,1991,91,1.425284123
ak199.rwl.csv,ak199,BB40,BB40N,BB40S,1901,1999,99,0.796732051
ak200.rwl.csv,ak200,CM25,CM25N,CM25S,1901,2006,106,1.118841638
ak200.rwl.csv,ak200,CM41,CM41N,CM41S,1901,1974,74,0.812728525
ak200.rwl.csv,ak200,CM82,CM82N,CM82S,1901,1966,66,1.28742572
ak200.rwl.csv,ak200,CM86,CM86N,CM86S,1901,2006,106,1.922711132
arge038.rwl.csv,arge038,GA 07,GA 07N,GA 07S,1901,1924,24,0.767820987
arge038.rwl.csv,arge038,GA 09,GA 09N,GA 09S,1901,1985,85,1.074636387
arge038.rwl.csv,arge038,GA 11,GA 11N,GA 11S,1901,1985,85,1.028440469
arge038.rwl.csv,arge038,GA 14,GA 14N,GA 14S,1901,1985,85,1.583312202
ausl025.rwl.csv,ausl025,FT7.5,FT7.5N,FT7.5S,1901,2007,107,0.321848582
ausl025.rwl.csv,ausl025,FT7.10,FT7.10N,FT7.10S,1901,2007,107,1.289059963
ausl038c.rwl.csv,ausl038c,MCK24,MCK24N,MCK24S,1901,2008,108,1.213082359
ausl038d.rwl.csv,ausl038d,MCK24,MCK24N,MCK24S,1901,2008,108,1.191970591
ausl039.rwl.csv,ausl039,FBC17,FBC17N,FBC17S,1901,1956,56,1.058710946
ausl039.rwl.csv,ausl039,FBC9,FBC9N,FBC9S,1902,2011,110,1.103786993
ausl039.rwl.csv,ausl039,FBC3,FBC3N,FBC3S,1901,2011,111,1.367577077
ausl041.rwl.csv,ausl041,WALD35,WALD35N,WALD35S,1901,2006,106,1.135637201
ausl042.rwl.csv,ausl042,932,932N,932S,1901,2008,108,0.950879141
ausl042.rwl.csv,ausl042,914,914N,914S,1901,2008,108,0.747478205
ausl043.rwl.csv,ausl043,LCR23,LCR23N,LCR23S,1901,2012,112,0.154923623
ausl043.rwl.csv,ausl043,RRD6,RRD6N,RRD6S,1901,2011,111,1.268699449
ausl043.rwl.csv,ausl043,RRD10,RRD10N,RRD10S,1901,2011,111,1.333703595
ausl047.rwl.csv,ausl047,MESA3,MESA3N,MESA3S,1901,2011,111,1.149065545
ausl047.rwl.csv,ausl047,MESA7,MESA7N,MESA7S,1901,2011,111,1.074084625
ausl050.rwl.csv,ausl050,WLD35,WLD35N,WLD35S,1901,2006,106,1.135637201
ausl058.rwl.csv,ausl058,FF4,FF4N,FF4S,1943,2004,62,1.39353261
ausl058.rwl.csv,ausl058,FF3,FF3N,FF3S,1953,2004,52,0.971368613
ausl058.rwl.csv,ausl058,SC6,SC6N,SC6S,1923,2007,85,0.919048576
ausl058.rwl.csv,ausl058,SC11,SC11N,SC11S,1915,1995,81,1.308085364
ausl059.rwl.csv,ausl059,MAN1.1,MAN1.1N,MAN1.1S,1923,2003,81,1.029304189
ausl059.rwl.csv,ausl059,MAN1.3,MAN1.3N,MAN1.3S,1901,2007,107,1.462777161
ausl059.rwl.csv,ausl059,MAN1.10,MAN1.10N,MAN1.10S,1937,2000,64,0.901605946
ausl059.rwl.csv,ausl059,MAN1.12,MAN1.12N,MAN1.12S,1926,2007,82,1.010798169
